Nr.,Articol,Clasa,Cod extern,Cod,Pret,UM,Stoc,PRODUCATOR,Data
crt.,,articol,,articol,vanzare,,curent,,adaugarii
1735,PARCHET EGGER 8MM EPL 205,1,9007767496214,8425,53.60,M2,0.00,EGGER,22.01.2013
1736,PARCHET EGGER 8MM EPL015 AQUA 1.9948MP,1,9007767520667,12389,95.70,M2,0.00,EGGER,13.02.2018
1737,PARCHET EGGER 8MM EPL016-2.5349MP,1,9007767520377,12360,65.00,M2,0.00,EGGER,13.02.2018
1738,PARCHET EGGER 8MM EPL018-1.9948MP,1,9007767535883,14437,50.60,M2,0.00,EGGER,03.02.2021
1739,PARCHET EGGER 8MM EPL033-2.5349 MP/CUT H1051,1,9007767520698,12392,66.00,M2,0.00,EGGER,13.02.2018
1740,PARCHET EGGER 8MM EPL039 -1.9948MP,1,9007767520339,12356,49.10,M2,0.00,EGGER,13.02.2018
1741,PARCHET EGGER 8MM EPL042 AQUA-1.9948MP,1,9007767520414,12364,83.00,M2,0.00,EGGER,13.02.2018
1742,PARCHET EGGER 8MM EPL068 AQ 1.9948MP,1,9007767520537,12376,94.30,M2,0.00,EGGER,13.02.2018
1743,PARCHET EGGER 8MM EPL075,1,9007767520582,12381,61.40,M2,0.00,EGGER,13.02.2018
1744,PARCHET EGGER 8MM EPL080-1.9948MP,1,9007767520544,12377,53.00,M2,0.00,EGGER,13.02.2018
1745,PARCHET EGGER 8MM EPL102 1.9948MP -H2730,1,9007767520568,12379,64.10,M2,0.01,EGGER,13.02.2018
1746,PARCHET EGGER 8MM EPL103-H2733-2.5349MP,1,9007767520704,12393,66.00,M2,0.00,EGGER,13.02.2018
